family,accuracy_gap_lower_exclusive,accuracy_gap_upper_inclusive,pairs,mean_angle_degrees,median_angle_degrees,mean_within_CKA,mean_CCA_sum_rho2
C1,0,0.5,2,22.00205469914979,22.00205469914979,0.6733971942795312,6.078137864971977
C1,0.5,1,5,24.18548317263307,19.575128966749435,0.7009982704972159,6.355544954736201
C1,1,2,9,36.74175255190448,28.536239397702985,0.7574700437367671,6.74963713257581
C1,2,5,19,32.26786297745575,27.112805023823746,0.6845257063571646,6.092919726340869
C1,5,inf,55,35.76754748710019,34.741114570003305,0.402714900867872,3.5743701831195387
C100,0,0.5,7,22.802278796816612,23.6955863805892,0.7705141487646406,6.935202785798532
C100,0.5,1,9,15.722857070963293,15.062652166931427,0.8256894398678981,7.4014246454957195
C100,1,2,6,14.25291075000514,11.987223184966169,0.8189869031581697,7.296556496393914
C100,2,5,19,24.081330236257504,23.73664892184375,0.7260881608613793,6.509228684253621
C100,5,inf,49,45.881087729506795,36.077573737185794,0.40617974415504265,3.4436060709667102
